,PID,book-rank,book-link-href,Name,Author,Category,Price,Rating-number,Sold-number
37,3608623,Phổ biến,https://tiki.vn/bi-mat-cua-phan-thien-an-p3608623.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.3608623,Bí Mật Của Phan Thiên Ân,Alan Phan,Sách kinh tế,69000.0,1631.0,1000.0
38,78598381,Phổ biến,https://tiki.vn/tam-ly-hoc-tinh-cach-tang-kem-1-bookmark-p78598381.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.78598381,Tâm Lý Học Tính Cách (Tặng Kèm: 1 Bookmark),Trâu Hoành Minh,Sách kỹ năng sống,89380.0,13.0,66.0
39,71090268,Phổ biến,https://tiki.vn/am-anh-tu-kiep-truoc-bi-mat-cua-su-song-va-cai-chet-tai-ban-2020-p71090268.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.71090268,Ám Ảnh Từ Kiếp Trước - Bí Mật Của Sự Sống Và Cái Chết (Tái Bản 2020),Brian L. Weiss,Sách Tôn Giáo - Tâm Linh,71200.0,63.0,249.0
40,113540576,Phổ biến,https://tiki.vn/hao-nu-trung-hoa-p113540576.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.113540576,Hảo Nữ Trung Hoa,Hân Nhiên,Sách văn học,111360.0,,
41,25746152,Phổ biến,https://tiki.vn/bts-nhung-buoc-chan-chinh-phuc-the-gioi-p25746152.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.25746152,BTS Những Bước Chân Chinh Phục Thế Giới,Malcolm Croft,Sách văn học,129000.0,2.0,37.0
42,24951095,Phổ biến,https://tiki.vn/mat-biec-tai-ban-2019-p24951095.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.24951095,Mắt Biếc (Tái Bản 2019),Nguyễn Nhật Ánh,Sách văn học,93500.0,82.0,539.0
43,58165559,Phổ biến,https://tiki.vn/ngu-phap-tieng-han-thong-dung-so-cap-p58165559.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.58165559,Ngữ Pháp Tiếng Hàn Thông Dụng - Sơ Cấp,Nhiều Tác Giả,Sách Học Ngoại Ngữ,180000.0,50.0,134.0
44,580112,Phổ biến,https://tiki.vn/harry-potter-va-hon-da-phu-thuy-tap-1-tai-ban-2017-p580112.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.580112,Harry Potter Và Hòn Đá Phù Thủy - Tập 1 (Tái Bản 2017),"J. K. Rowling,",Sách thiếu nhi,120150.0,100.0,303.0
45,45902241,Phổ biến,https://tiki.vn/tim-minh-trong-the-gioi-hau-tuoi-tho-p45902241.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.45902241,Tìm Mình Trong Thế Giới Hậu Tuổi Thơ,Đặng Hoàng Giang,Sách Tâm lý - Giới tính,120700.0,63.0,318.0
46,92096344,Phổ biến,https://tiki.vn/nhung-nguoi-khon-kho-boxet-2-tap-p92096344.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.92096344,Những Người Khốn Khổ (Boxet 2 Tập),Victor Hugo,Sách văn học,409180.0,1.0,3.0
47,110448020,Phổ biến,https://tiki.vn/nha-ao-thuat-den-va-vu-an-mang-tai-thi-tran-khong-ten-p110448020.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.110448020,Nhà Ảo Thuật Đen Và Vụ Án Mạng Tại Thị Trấn Không Tên,Higashino Keigo,Sách văn học,173130.0,6.0,13.0
48,104651900,Phổ biến,https://tiki.vn/sach-seneca-nhung-buc-thu-dao-duc-chu-nghia-khac-ky-trong-doi-song-p104651900.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=104651901&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.104651901,Sách Seneca: Những Bức Thư Đạo Đức – Chủ nghĩa Khắc kỷ trong đời sống,Lucius Annaeus Seneca,Sách kỹ năng sống,129500.0,151.0,752.0
49,53834486,Phổ biến,https://tiki.vn/gian-tai-ban-2020-lan-thu-19-p53834486.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.53834486,Giận (Tái Bản 2020),Thích Nhất Hạnh,Sách Tôn Giáo - Tâm Linh,96000.0,721.0,1000.0
50,53434797,Phổ biến,https://tiki.vn/sach-tai-chinh-ca-nhan-cho-nguoi-viet-nam-tang-khoa-hoc-online-ve-tai-chinh-p53434797.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.53434797,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,Lâm Minh Chánh,Sách kinh tế,200000.0,1429.0,1000.0
51,6563565,Phổ biến,https://tiki.vn/10-van-cau-hoi-vi-sao-tron-bo-5-tap-p6563565.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.6563565,10 vạn câu hỏi vì sao - trọn bộ 5 tập,Đức Anh,Sách thiếu nhi,186150.0,1.0,6.0
52,1445367,Phổ biến,https://tiki.vn/diem-den-cua-cuoc-doi-p1445367.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.1445367,Điểm Đến Của Cuộc Đời,Đặng Hoàng Giang,Sách văn học,60000.0,32.0,148.0
53,73159811,Phổ biến,https://tiki.vn/cuon-theo-chieu-gio-tron-bo-2-tap-p73159811.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.73159811,Cuốn Theo Chiều Gió (Trọn Bộ 2 Tập),Margaret Mitchell,Sách văn học,311600.0,1.0,2.0
54,103663136,Phổ biến,https://tiki.vn/cau-chuyen-tu-trai-tim-p103663136.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.103663136,Câu Chuyện Từ Trái Tim,BS. Nguyễn Lân Hiếu,Sách kỹ năng sống,96200.0,400.0,1000.0
55,3737963,Phổ biến,https://tiki.vn/buc-xuc-khong-lam-ta-vo-can-tai-ban-p3737963.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.3737963,Bức Xúc Không Làm Ta Vô Can (Tái Bản),Đặng Hoàng Giang,Sách kỹ năng sống,72250.0,21.0,141.0
56,6926849,Phổ biến,https://tiki.vn/mindmap-english-grammar-ngu-phap-tieng-anh-bang-so-do-tu-duy-p6926849.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.6926849,Mindmap English Grammar - Ngữ Pháp Tiếng Anh Bằng Sơ Đồ Tư Duy,Đỗ Nhung,Sách Học Ngoại Ngữ,161500.0,145.0,554.0
57,80628929,Phổ biến,https://tiki.vn/tu-iq-den-eq-nam-bat-thanh-cong-qua-tri-tue-cam-xuc-p80628929.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.80628929,Từ IQ Đến EQ - Nắm Bắt Thành Công Qua Trí Tuệ Cảm Xúc,Trương Manh,Sách kỹ năng sống,74620.0,17.0,82.0
58,11718089,Phổ biến,https://tiki.vn/check-your-english-vocabulary-for-ielts-p11718089.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.11718089,Check Your English Vocabulary For Ielts,Rawdon Wyatt,Sách Học Ngoại Ngữ,100000.0,33.0,154.0
59,56878836,Phổ biến,https://tiki.vn/muon-kiep-nhan-sinh-bia-cung-p56878836.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.56878836,Muôn Kiếp Nhân Sinh (Bìa Cứng),Nguyên Phong,Sách Tôn Giáo - Tâm Linh,182400.0,194.0,778.0
60,8128223,Phổ biến,https://tiki.vn/lot-xac-de-tro-thanh-nha-dau-tu-gia-tri-the-education-of-a-value-investor-p8128223.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.8128223,Lột xác để trở thành nhà đầu tư giá trị - The education of a value investor,Guy Spier,Sách kinh tế,268000.0,512.0,1000.0
61,97631528,Phổ biến,https://tiki.vn/sach-giao-khoa-bo-lop-9-sach-bai-hoc-bo-11-cuon-khong-tieng-anh-2021-p97631528.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=97631529&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.97631529,Sách Giáo Khoa Bộ Lớp 9 - Sách Bài Học (Bộ 11 Cuốn - Không Tiếng Anh) (2021),Bộ Giáo Dục Và Đào Tạo,Sách Giáo Khoa - Giáo Trình,127000.0,133.0,569.0
62,8885999,Phổ biến,https://tiki.vn/totto-chan-ben-cua-so-tai-ban-p8885999.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),Kuroyanagi Tetsuko,Sách văn học,83300.0,43.0,488.0
63,74341297,Phổ biến,https://tiki.vn/khong-so-cham-chi-so-dung-p74341297.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.74341297,Không Sợ Chậm Chỉ Sợ Dừng,Vãn Tình,Sách kỹ năng sống,103200.0,,
64,8121460,Phổ biến,https://tiki.vn/giao-trinh-han-ngu-1-tap-1-quyen-thuong-phien-ban-moi-p8121460.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.8121460,Giáo Trình Hán Ngữ 1 - Tập 1 - Quyển Thượng (Phiên Bản Mới),Nhiều Tác Giả,Sách Học Ngoại Ngữ,57850.0,1535.0,1000.0
